,Company Name,Job Title,City,State,Sal_min,Sal_max,Sal_avg
2971,Codesmith,Senior Data Science Engineer and Instructor,LosAngeles,CA,103000.0,,103000.0
3041,TEEMA,Senior Product Manager - Disruptive ELearning Startup,LosAngeles,CA,140000.0,,140000.0
3059,Tessie Cleveland Community Service Corporation,Senior Research Analyst,LosAngeles,CA,56000.0,,56000.0
3107,tronc (formerly Tribune Publishing),Social Media Marketing Data Analyst,LosAngeles,CA,60000.0,70000.0,65000.0
3132,QYResearch,Automotive industry market research analyst,RowlandHeights,CA,50000.0,,50000.0
3168,Selby Jennings,Quantitative Analyst - Multiple Vacancies,LosAngeles,CA,120000.0,,120000.0
3238,Jobspring Partners,Product Manager,LosAngeles,CA,80000.0,110000.0,95000.0
3243,Jobspring Partners,Junior-Mid C# Machine Learning Developer,CulverCity,CA,70000.0,105000.0,87500.0
3253,QYResearch,Chemical Industry Market Research Analyst,RowlandHeights,CA,60000.0,,60000.0
3266,Los Angeles County Human Resources,SENIOR STATISTICAL CLERK,LosAngeles,CA,36339.0,48794.0,42566.5
3284,QYResearch,Market Research Analyst,RowlandHeights,CA,50000.0,,50000.0
3296,Workbridge Associates,Java Machine Learning Algorithm Developer,LosAngeles,CA,120000.0,140000.0,130000.0
3298,Phillips Graduate University,Research Analyst,Chatsworth,CA,50000.0,60000.0,55000.0
3312,Los Angeles County Department of Human Resources,"RESEARCH ANALYST III, BEHAVIORAL SCIENCES",LosAngeles,CA,73286.0,86231.0,79758.5
3346,Los Angeles County Human Resources,SUPERVISING CLINICAL LABORATORY SCIENTIST III,LosAngeles,CA,84336.0,110616.0,97476.0
3355,HIRECLOUT,Data Engineer,CulverCity,CA,100000.0,160000.0,130000.0
3373,Los Angeles County Department of Human Resources,"MEDICAL TECHNOLOGIST, DATA SYSTEMS",LosAngeles,CA,76804.0,100726.0,88765.0
3379,Altair Engineering,Aerospace Program Manager,Cypress,CA,88000.0,,88000.0
3389,Selby Jennings,Quantitative Analyst - Credit Risk,LosAngeles,CA,120000.0,,120000.0
3408,tronc (formerly Tribune Publishing),Social Media Marketing Data Analyst,LosAngeles,CA,60000.0,70000.0,65000.0
3454,Los Angeles County Department of Human Resources,HUMAN RESOURCES ANALYST IV - Test Research,LosAngeles,CA,90598.0,118819.0,104708.5
3461,Los Angeles County Human Resources,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES",LosAngeles,CA,73107.0,95884.0,84495.5
3482,Los Angeles County Department of Human Resources,SUPERVISING CLINICAL LABORATORY SCIENTIST III,LosAngeles,CA,84336.0,110616.0,97476.0
3505,Lighthouse Recruiting,LC/MS Clinical Laboratory Scientist,Pasadena,CA,80000.0,110000.0,95000.0
3509,Los Angeles County Department of Human Resources,SENIOR STATISTICAL CLERK,LosAngeles,CA,36339.0,48794.0,42566.5
3600,Los Angeles County Department of Human Resources,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES",LosAngeles,CA,73107.0,95884.0,84495.5
3646,Workbridge Associates,Software Engineer (Machine Learning/Algorithm Development,Burbank,CA,80000.0,130000.0,105000.0
3748,"G2 Web Services, LLC",Research and Investigation Analyst,Bellevue,WA,35000.0,,35000.0
3779,Philanthropy Northwest,"Research Analyst, The Giving Practice",Seattle,WA,50000.0,60000.0,55000.0
3809,Dynamic Staffing Inc.,Data Scientist-Software Engineer,Seattle,WA,125000.0,,125000.0
3886,HERO.Jobs,"Machine Learning Engineer - Big Data, Python, R",Seattle,WA,160000.0,,160000.0
3917,Smith Arnold Partners,Research Analyst,Seattle,WA,50000.0,65000.0,57500.0
3960,All-In Analytics,Sr. Global Device Manager,Seattle,WA,150000.0,175000.0,162500.0
