,Company Name,Job Title,Location,Salary
134,Predictive Science,Data Scientist,United States,
135,Cox Automotive,Data Scientist,"Atlanta, GA",
136,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
137,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
138,Novella Clinical,Sr. Statistical Programmer,"Atlanta, GA",
139,KPMG,Sr. Manager - Data Analytics,"Atlanta, GA 30338",
140,AT&T,Big Data Technical Co Op I,"Alpharetta, GA",
141,Analytic Recruiting,Senior Statistical Analyst,"Atlanta, GA",
142,ADP,Associate Application Developer,"Alpharetta, GA 30005",
143,VIVOS Professional Services,Scientist I,"Atlanta, GA",
144,Centers for Disease Control and Prevention,Statistician (Health),"Atlanta, GA","$88,305 - $114,802 a year"
145,Kaiser Permanente,"Sr Investigator, Research - Atlanta","Atlanta, GA",
146,Navicure,Marketing Operations Administrator,"Duluth, GA",
147,Atkins,Sr. Scientist – Ecology,"Atlanta, GA 30328",
148,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
149,Predictive Science,Data Scientist,United States,
150,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
151,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
152,McKing Consulting Corporation,Study/Patient Coordinator,"Atlanta, GA 30341",
153,CSTE,Associate Research Analyst,"Atlanta, GA 30341","$51,706 a year"
154,Georgia Tech Research Institute,Applications Engineer and Intelligence Analyst - ACL 1181,"Atlanta, GA 30318 (Rockdale area)",
155,Lab Support,Associate Research Scientist I,"Johns Creek, GA",
156,KPMG,Manager - Data Scientist,"Atlanta, GA 30338",
157,Georgia Tech,Courier I (Tech Temp),"Atlanta, GA",
158,ASSURANT,Sr Data Scientist - Fraud,"Atlanta, GA 30339",
159,ICF,Head Start Grantee Specialist,"Atlanta, GA",
160,Atkins Global,Sr. Scientist – Ecology,"Atlanta, GA",
161,KPMG,"Senior Associate, Tax Technology - Data Analytics Machine Le...","Atlanta, GA 30338",
162,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
163,Cox Automotive,Data Scientist,"Atlanta, GA",
164,Predictive Science,Data Scientist,United States,
165,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
166,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
167,Cox Automotive,Data Scientist,"Atlanta, GA",
168,Pindrop,Research Scientist - Audio,"Atlanta, GA",
169,"Geosyntec Consultants, Inc.",Senior Voice-Network Engineer,"Atlanta, GA 30319",
170,Lifetime Fitness,Ultimate Hoops Statistician,"Atlanta, GA",
