,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price per Liter mean,Zip Code,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
356,3932,MAPLETON,22826.04,67.9346428571,67,15.4166044101,51034,1797.38,5.3493452381,22.7446428571,5327.24,2108.94,2015-01-27,2016-03-01
357,3934,MAQUOKETA,19830.36,178.651891892,49,13.8322522523,52060,1705.5,15.3648648649,59.6875675676,5382.3,1311.18,2015-01-06,2016-03-29
358,3942,TOLEDO,37893.23,75.1849801587,86,17.0532624727,52342,2781.08,5.51801587302,25.1804365079,8336.23,58569.27,2015-01-05,2016-03-21
359,3943,NEVADA,13837.01,36.222539267,85,16.110547871,50201,1137.74,2.97837696335,12.094895288,3225.37,1094.49,2015-01-05,2016-03-21
360,3944,DUBUQUE,97737.99,693.177234043,31,17.2910199257,52002,8132.25,57.6755319149,232.069787234,16624.74,1293.32,2015-01-08,2016-03-31
361,3947,BROOKLYN,9976.63,65.6357236842,79,16.7800540414,52211,788.2,5.18552631579,21.9082236842,2504.81,8990.36,2015-01-06,2016-03-29
362,3949,PELLA,17988.12,199.868,63,15.1601481481,50219,1267.5,14.0833333333,66.6886666667,2430.42,1806.36,2015-01-07,2016-03-30
363,3950,STATE CENTER,3368.04,28.7866666667,48,13.746228927,50247,298.32,2.54974358974,9.61606837607,960.46,906.16,2015-01-06,2016-03-01
364,3952,BETTENDORF,331874.38,362.308275109,82,23.1676917946,52722,18577.38,20.2809825328,120.906997817,85840.78,763.74,2015-01-14,2016-02-24
365,3957,EDGEWOOD,4914.12,69.2129577465,22,13.5141649899,52042,415.5,5.85211267606,23.1445070423,1020.52,11244.36,2015-01-07,2016-03-30
366,3959,DUBUQUE,9140.08,58.9682580645,31,14.0541966206,52001,989.48,6.38374193548,19.8643870968,1459.92,7067.04,2015-01-05,2016-03-28
367,3963,COUNCIL BLUFFS,14750.81,34.7896462264,78,17.5916640797,51501,1023.52,2.41396226415,11.6042216981,4032.91,8969.26,2015-01-06,2016-03-29
368,3964,SIOUX RAPIDS,7190.41,50.2825874126,11,13.3451118562,50585,619.22,4.33020979021,16.848951049,2144.54,2617.12,2015-01-05,2016-03-28
369,3968,MONROE,4695.59,85.3743636364,50,14.8768917749,50170,352.25,6.40454545455,28.5121818182,694.26,3857.89,2015-01-05,2016-02-01
370,3970,NEVADA,7189.92,62.5210434783,85,17.0633426501,50201,541.61,4.70965217391,20.9155652174,1631.83,8896.66,2015-01-07,2016-03-30
371,3972,HUBBARD,3876.58,63.5504918033,42,13.2457825917,50122,408.12,6.69049180328,21.3549180328,462.58,5477.26,2015-01-05,2016-03-28
372,3973,AMES,14837.35,103.037152778,85,16.9377083333,50014,1259.75,8.74826388889,34.3657638889,5980.0,10613.79,2015-01-06,2016-03-29
373,3980,IOWA CITY,61060.5,165.925271739,52,15.1510468427,52246,4342.5,11.8002717391,55.4864673913,12531.36,2118.24,2015-01-07,2016-03-30
374,3981,SIOUX CENTER,37057.56,174.799811321,84,16.0400404313,51250,2562.0,12.0849056604,58.4083018868,7297.14,1655.58,2015-01-05,2016-03-28
375,3986,SIOUX CITY,33890.01,100.563827893,97,19.3534109941,51101,2082.74,6.18023738872,33.5636498516,7878.25,4607.82,2015-01-05,2016-03-28
376,3987,ALGONA,25765.52,142.350939227,55,17.262145488,50511,1969.52,10.8813259669,47.7008287293,3848.2,8831.22,2015-01-08,2016-03-31
377,3989,CHEROKEE,14416.42,100.114027778,18,15.9631330737,51012,1055.21,7.32784722222,33.4506944444,3076.96,656.04,2015-01-07,2015-02-25
378,3990,OSKALOOSA,33335.34,69.448625,62,20.2819148914,52577,2316.74,4.82654166667,23.2161041667,7278.46,926.41,2015-01-07,2016-03-30
379,3993,WATERLOO,28992.83,115.509282869,7,21.7761181011,50701,1530.72,6.09848605578,38.5464940239,5680.49,2837.22,2015-01-07,2016-03-30
380,3995,CEDAR FALLS,43059.99,219.693826531,7,18.0724854227,50613,3022.0,15.4183673469,73.3123469388,10739.71,2391.55,2015-01-07,2016-03-23
381,3997,OSCEOLA,14799.54,178.307710843,20,14.82356856,50213,1107.0,13.3373493976,59.5308433735,2734.98,604.56,2015-01-07,2016-03-30
382,4000,WOODBINE,6444.7,52.3959349593,43,15.2271738289,51579,449.2,3.65203252033,17.4930081301,1499.72,4266.76,2015-01-05,2016-03-28
383,4001,CARROLL,23931.66,168.532816901,14,14.244674715,51401,1919.25,13.5158450704,56.4016901408,5343.78,4925.28,2015-01-06,2016-03-29
384,4004,AMES,41235.72,171.8155,85,15.1873055556,50010,3094.5,12.89375,57.434,7689.42,831.54,2015-01-07,2016-03-30
385,4006,LARCHWOOD,11546.42,183.276507937,60,16.6863340892,51241,752.25,11.9404761905,61.1679365079,3116.64,919.91,2015-01-13,2016-03-29
386,4008,ANTHON,9452.11,64.3000680272,97,15.5975530237,51004,769.93,5.23761904762,21.5057823129,1891.05,6373.68,2015-01-07,2016-03-30
387,4010,GLENWOOD,6845.82,112.226557377,65,12.3954957065,51534,587.25,9.62704918033,37.4547540984,1366.74,4365.6,2015-01-07,2016-03-30
388,4011,ALBIA,16557.65,108.931907895,68,16.829838824,52531,1172.17,7.71164473684,36.3597368421,4273.14,5001.54,2015-01-08,2016-03-29
389,4013,TIPTON,11077.08,162.898235294,16,16.7857913165,52772,733.5,10.7867647059,54.3452941176,1210.56,798.78,2015-01-05,2016-03-30
390,4014,DENISON,21490.96,147.198356164,24,14.9926647097,51442,1565.7,10.7239726027,49.2597945205,4378.48,2074.39,2015-01-05,2016-03-28
391,4015,AMES,28580.48,204.146285714,85,16.4441564626,50010,2370.0,16.9285714286,68.248,5421.54,3891.48,2015-01-07,2016-03-29
392,4016,CONRAD,3709.55,63.9577586207,38,15.2652121684,50621,320.88,5.5324137931,21.4587931034,775.66,1513.17,2015-01-06,2016-03-29
393,4018,GLADBROOK,3213.47,57.3833928571,48,13.7704676871,50635,278.25,4.96875,19.1417857143,582.7,1187.22,2015-01-07,2016-03-30
394,4019,MANCHESTER,27067.2,170.233962264,28,14.638065289,52057,2148.0,13.5094339623,56.9645283019,4521.42,1584.43,2015-01-15,2016-03-31
395,4021,FAIRFIELD,20316.54,136.35261745,51,15.3099968041,52556,1451.4,9.74093959732,45.4872483221,3220.86,2342.73,2015-01-06,2015-03-12
396,4023,BOONE,23959.8,146.992638037,8,15.2768331873,50036,1668.0,10.2331288344,49.2077300613,5830.92,11434.07,2015-01-07,2015-12-29
397,4024,IOWA FALLS,11173.1,159.615714286,42,16.382122449,50126,867.0,12.3857142857,53.3245714286,2709.24,5731.92,2015-01-26,2016-03-21
398,4025,BELLE PLAINE,7568.84,55.2470072993,6,15.54955206,52208,701.45,5.1200729927,18.4570072993,1226.32,1740.89,2015-01-13,2015-11-12
399,4027,CENTERVILLE,15417.66,130.658135593,4,13.1810371267,52544,1233.0,10.4491525424,43.743559322,4314.66,5923.02,2015-01-07,2016-03-30
400,4034,POSTVILLE,2923.33,94.3009677419,3,13.5258064516,52162,273.8,8.83225806452,31.4406451613,275.79,1742.03,2015-01-06,2016-03-29
401,4042,GLENWOOD,3990.9,166.2875,65,29.2890277778,51534,224.25,9.34375,55.4820833333,1877.56,4975.44,2015-01-07,2016-03-30
402,4046,CENTERVILLE,5127.31,39.1397709924,4,15.3221306128,52544,435.57,3.32496183206,13.0682442748,530.33,12220.53,2015-01-07,2016-03-30
403,4051,MAQUOKETA,22808.58,205.482702703,49,12.567022737,52060,2345.25,21.1283783784,70.5802702703,2330.43,3305.8,2015-01-06,2016-03-29
404,4057,DES MOINES,45577.42,167.564044118,77,27.4736576084,50316,2238.1,8.22830882353,55.8756985294,7995.22,1255.67,2015-01-07,2016-03-30
405,4062,DES MOINES,31916.59,97.3066768293,77,22.9464685809,50314,1636.71,4.9899695122,32.4550914634,10364.64,3718.97,2015-01-08,2016-03-31
406,4067,WELLMAN,10487.18,52.4359,90,17.7198684524,52356,823.99,4.11995,17.62935,1907.68,3286.47,2015-01-08,2016-03-31
407,4068,WEST DES MOINES,19787.8,74.3902255639,77,20.8851734364,50265,1146.73,4.31101503759,24.8209398496,4530.93,795.91,2015-01-08,2016-03-10
408,4069,OTTUMWA,19921.06,321.307419355,90,16.3273655914,52501,960.0,15.4838709677,107.501129032,1035.2,4303.43,2015-01-05,2016-03-28
409,4070,BELLE PLAINE,19144.09,101.830265957,6,18.1905091185,52208,1540.74,8.19542553191,34.0257446809,4293.11,16880.58,2015-01-08,2016-03-31
410,4073,FOREST CITY,46202.84,143.934080997,95,14.3509579439,50436,3956.74,12.3262928349,48.0901557632,7508.99,1425.68,2015-01-07,2016-03-30
411,4077,WATERLOO,16559.96,131.428253968,7,23.8743915344,50703,785.5,6.23412698413,43.8332539683,4665.76,2954.88,2015-01-06,2016-01-19
412,4081,STORY CITY,7511.9,72.9310679612,85,12.4227600555,50248,695.5,6.75242718447,24.4197087379,1742.96,2267.22,2015-01-07,2016-02-24
413,4083,ANKENY,30771.23,130.941404255,77,16.844077001,50021,2335.37,9.93774468085,44.0173191489,5822.39,6697.89,2015-01-13,2016-03-29
414,4084,ANKENY,17843.37,134.160676692,77,15.1218761189,50023,1470.5,11.0563909774,45.1597744361,3584.39,7465.65,2015-01-07,2016-03-30
415,4090,WINTHROP,3783.14,145.505384615,10,16.9297252747,50682,248.25,9.54807692308,48.5696153846,204.18,3089.38,2015-01-07,2015-04-01
416,4091,CLEAR LAKE,18256.78,95.0873958333,17,14.3400570437,50428,1819.75,9.47786458333,31.778125,2317.93,1183.62,2015-01-08,2016-03-17
417,4092,NORWALK,23610.98,314.813066667,91,14.4883111111,50211,1741.87,23.2249333333,105.001866667,3797.62,3443.74,2015-01-08,2016-03-31
418,4097,SCHLESWIG,9918.29,54.7971823204,24,16.4196132597,51461,695.25,3.84116022099,18.3669060773,2280.81,4144.2,2015-01-06,2016-03-29
419,4098,WASHINGTON,16834.8,153.043636364,92,15.0937835498,52353,1153.5,10.4863636364,51.1232727273,3480.96,3762.66,2015-01-12,2016-03-14
420,4102,AMES,14778.5,83.0252808989,85,12.7203986089,50010,1519.0,8.53370786517,28.3416853933,2645.43,1186.1,2015-01-06,2016-03-29
421,4103,AMES,17187.79,128.267089552,85,16.9993212509,50010,1165.2,8.69552238806,42.8497014925,4731.48,2073.39,2015-01-05,2016-03-28
422,4104,MASON CITY,26620.96,260.989803922,17,11.8220961718,50401,2619.55,25.6818627451,89.2240196078,11220.6,1810.98,2015-01-05,2016-03-28
423,4105,NEVADA,12605.43,58.9038785047,85,14.6782109479,50201,1129.25,5.27686915888,19.7135046729,2199.41,1007.19,2015-01-07,2016-03-30
424,4106,DUBUQUE,6393.22,38.7467878788,31,15.548791866,52002,648.2,3.92848484848,12.971030303,1484.89,5443.14,2015-01-05,2016-03-21
425,4107,BOONE,31116.14,123.968685259,8,15.2247846708,50036,2558.45,10.1930278884,41.9621115538,12006.94,19373.49,2015-01-13,2016-03-29
426,4110,PARKERSBURG,7255.65,122.977118644,12,11.4877239709,50665,654.0,11.0847457627,41.1371186441,889.08,1123.38,2015-01-07,2016-03-30
427,4112,NORTH LIBERTY,13860.47,135.886960784,52,16.6214845938,52317,913.95,8.96029411765,45.4731372549,3745.8,5909.13,2015-01-06,2015-03-17
428,4114,ATLANTIC,13597.95,102.240225564,15,23.5075429646,50022,934.02,7.02270676692,34.1731578947,2520.9,3537.66,2015-01-07,2016-03-30
429,4116,LAKE VIEW,5304.84,123.368372093,81,19.4611184939,51450,377.75,8.78488372093,41.1644186047,747.78,986.98,2015-01-06,2016-03-29
430,4118,LAKE VIEW,13027.99,106.786803279,81,14.1590007806,51450,1079.7,8.85,35.8703278689,2393.95,1544.92,2015-01-07,2016-03-30
